x,y,z
0.0,0.0,0.392
0.1989700043360188,0.0,0.496
0.3494850021680094,0.0,0.5
0.5000000000000002,0.0,0.5
0.6989700043360192,0.0,0.5
0.8494850021680096,0.0,0.5
1.0000000000000002,0.0,0.5
0.0,0.2631578947368421,0.2859999999999999
0.1989700043360188,0.2631578947368421,0.472
0.3494850021680094,0.2631578947368421,0.494
0.5000000000000002,0.2631578947368421,0.5
0.6989700043360192,0.2631578947368421,0.5
0.8494850021680096,0.2631578947368421,0.5
1.0000000000000002,0.2631578947368421,0.5
0.0,0.5263157894736842,0.09399999999999996
0.1989700043360188,0.5263157894736842,0.30400000000000005
0.3494850021680094,0.5263157894736842,0.4340000000000001
0.5000000000000002,0.5263157894736842,0.496
0.6989700043360192,0.5263157894736842,0.5
0.8494850021680096,0.5263157894736842,0.5
1.0000000000000002,0.5263157894736842,0.5
0.0,0.631578947368421,-0.035999999999999976
0.1989700043360188,0.631578947368421,0.118
0.3494850021680094,0.631578947368421,0.30799999999999994
0.5000000000000002,0.631578947368421,0.46
0.6989700043360192,0.631578947368421,0.5
0.8494850021680096,0.631578947368421,0.5
1.0000000000000002,0.631578947368421,0.5
0.0,0.7368421052631579,-0.05199999999999999
0.1989700043360188,0.7368421052631579,-0.04199999999999998
0.3494850021680094,0.7368421052631579,0.12
0.5000000000000002,0.7368421052631579,0.32799999999999996
0.6989700043360192,0.7368421052631579,0.48
0.8494850021680096,0.7368421052631579,0.5
1.0000000000000002,0.7368421052631579,0.5
0.0,0.8421052631578948,-0.212
0.1989700043360188,0.8421052631578948,-0.192
0.3494850021680094,0.8421052631578948,-0.12
0.5000000000000002,0.8421052631578948,0.0040000000000000036
0.6989700043360192,0.8421052631578948,0.2659999999999999
0.8494850021680096,0.8421052631578948,0.43799999999999994
1.0000000000000002,0.8421052631578948,0.496
0.0,0.9473684210526316,-0.32
0.1989700043360188,0.9473684210526316,-0.362
0.3494850021680094,0.9473684210526316,-0.348
0.5000000000000002,0.9473684210526316,-0.35200000000000004
0.6989700043360192,0.9473684210526316,-0.304
0.8494850021680096,0.9473684210526316,-0.247
1.0000000000000002,0.9473684210526316,-0.14500000000000002
0.0,1.0,-0.328
0.1989700043360188,1.0,-0.414
0.3494850021680094,1.0,-0.454
0.5000000000000002,1.0,-0.46
0.6989700043360192,1.0,-0.478
0.8494850021680096,1.0,-0.474180734856008
1.0000000000000002,1.0,-0.49
